km,price
185530,4450
89000,5990
61789,8290
68500,7990
84000,6200
60949,7490
150500,4400
240000,3650
74000,6600
63060,6390
93000,6990
65674,7555
82029,6390
67000,6800
139800,3800
48235,6900
97500,6800
22899,7990
76025,6900
176000,5250
54000,7990
166800,5800
114800,5350
144500,5999
